zip5,county,county_fips,metro,cd_2026_map,cd_share,cd_seed_2024_map,state_senate,state_house,changed
33060,Broward,12011,fort_lauderdale,FL-20,0.311,FL-20|FL-23,SD-37|SD-30,HD-100|HD-98,yes
33062,Broward,12011,fort_lauderdale,FL-25,1.0,FL-23,SD-37,HD-100,yes
33063,Broward,12011,fort_lauderdale,FL-20,1.0,FL-23,SD-30,HD-95,yes
33064,Broward,12011,fort_lauderdale,FL-20,0.516,FL-20|FL-23,SD-30|SD-37,HD-98|HD-100,yes
33064,Broward,12011,fort_lauderdale,FL-25,0.484,FL-20|FL-23,SD-30|SD-37,HD-98|HD-100,yes
33065,Broward,12011,fort_lauderdale,FL-22,0.655,FL-23,SD-30,HD-96|HD-95,yes
33065,Broward,12011,fort_lauderdale,FL-20,0.345,FL-23,SD-30,HD-96|HD-95,yes
33066,Broward,12011,fort_lauderdale,FL-20,1.0,FL-23,SD-30,HD-95,yes
33067,Broward,12011,fort_lauderdale,FL-22,1.0,FL-23,SD-30,HD-95,yes
33068,Broward,12011,fort_lauderdale,FL-20,1.0,FL-20|FL-23,SD-32|SD-30,HD-97|HD-95,yes
33069,Broward,12011,fort_lauderdale,FL-20,1.0,FL-20|FL-23,SD-30,HD-98,yes
33071,Broward,12011,fort_lauderdale,FL-20,0.989,FL-23,SD-30,HD-96,yes
33073,Broward,12011,fort_lauderdale,FL-22,0.851,FL-23,SD-30,HD-95|HD-98,yes
33073,Broward,12011,fort_lauderdale,FL-20,0.149,FL-23,SD-30,HD-95|HD-98,yes
33076,Broward,12011,fort_lauderdale,FL-22,1.0,FL-23,SD-30,HD-95|HD-96,yes
33101,Miami-Dade,12086,miami,FL-27,1.0,FL-27,SD-36,HD-109,no
33109,Miami-Dade,12086,miami,FL-25,0.991,FL-24,SD-36,HD-106,yes
33122,Miami-Dade,12086,miami,FL-26,1.0,FL-26,SD-39,HD-112|HD-111,no
33125,Miami-Dade,12086,miami,FL-27,0.657,FL-26|FL-27,SD-36,HD-112|HD-109|HD-113,yes
33125,Miami-Dade,12086,miami,FL-24,0.343,FL-26|FL-27,SD-36,HD-112|HD-109|HD-113,yes
33126,Miami-Dade,12086,miami,FL-27,0.706,FL-26|FL-27,SD-36|SD-39,HD-114|HD-112|HD-111,no
33126,Miami-Dade,12086,miami,FL-26,0.294,FL-26|FL-27,SD-36|SD-39,HD-114|HD-112|HD-111,no
33127,Miami-Dade,12086,miami,FL-24,1.0,FL-24|FL-26,SD-34|SD-36,HD-108|HD-109,yes
33128,Miami-Dade,12086,miami,FL-27,1.0,FL-27,SD-36,HD-113|HD-109,no
33129,Miami-Dade,12086,miami,FL-27,1.0,FL-27,SD-36|SD-38,HD-113,no
33130,Miami-Dade,12086,miami,FL-27,1.0,FL-27,SD-36,HD-113,no
33131,Miami-Dade,12086,miami,FL-27,1.0,FL-27,SD-36,HD-113,no
33132,Miami-Dade,12086,miami,FL-27,0.781,FL-24|FL-27,SD-36,HD-113|HD-109,no
33132,Miami-Dade,12086,miami,FL-24,0.219,FL-24|FL-27,SD-36,HD-113|HD-109,no
33133,Miami-Dade,12086,miami,FL-27,1.0,FL-27,SD-38|SD-36,HD-114|HD-113,no
33134,Miami-Dade,12086,miami,FL-27,1.0,FL-27,SD-36,HD-114,no
33135,Miami-Dade,12086,miami,FL-27,1.0,FL-27,SD-36,HD-113|HD-112,no
33136,Miami-Dade,12086,miami,FL-27,0.552,FL-24|FL-26|FL-27,SD-36,HD-109,yes
33136,Miami-Dade,12086,miami,FL-24,0.448,FL-24|FL-26|FL-27,SD-36,HD-109,yes
33137,Miami-Dade,12086,miami,FL-24,1.0,FL-24|FL-26,SD-34|SD-36,HD-108|HD-113,yes
33138,Miami-Dade,12086,miami,FL-24,1.0,FL-24,SD-34,HD-108,no
33139,Miami-Dade,12086,miami,FL-25,0.932,FL-24,SD-36,HD-106|HD-113,yes
33139,Miami-Dade,12086,miami,FL-24,0.062,FL-24,SD-36,HD-106|HD-113,yes
33140,Miami-Dade,12086,miami,FL-25,1.0,FL-24,SD-34|SD-36,HD-106,yes
33141,Miami-Dade,12086,miami,FL-25,1.0,FL-24,SD-34,HD-106,yes
33142,Miami-Dade,12086,miami,FL-26,0.532,FL-24|FL-26,SD-39|SD-34|SD-36,HD-109|HD-112,no
33142,Miami-Dade,12086,miami,FL-24,0.468,FL-24|FL-26,SD-39|SD-34|SD-36,HD-109|HD-112,no
33143,Miami-Dade,12086,miami,FL-27,1.0,FL-27,SD-38,HD-114|HD-115,no
33144,Miami-Dade,12086,miami,FL-27,1.0,FL-27,SD-36,HD-114|HD-115,no
33145,Miami-Dade,12086,miami,FL-27,1.0,FL-27,SD-36,HD-113|HD-114,no
33146,Miami-Dade,12086,miami,FL-27,1.0,FL-27,SD-38,HD-114,no
33147,Miami-Dade,12086,miami,FL-24,0.983,FL-24|FL-26,SD-34|SD-39,HD-109|HD-108,yes
33149,Miami-Dade,12086,miami,FL-27,1.0,FL-27,SD-38|SD-36,HD-113,no
33150,Miami-Dade,12086,miami,FL-24,1.0,FL-24,SD-34,HD-108|HD-109,no
33154,Miami-Dade,12086,miami,FL-25,1.0,FL-24,SD-34,HD-106,yes
33155,Miami-Dade,12086,miami,FL-27,1.0,FL-27,SD-36|SD-38,HD-115|HD-114,no
33156,Miami-Dade,12086,miami,FL-27,1.0,FL-27,SD-38,HD-115|HD-114,no
33157,Miami-Dade,12086,miami,FL-27,0.931,FL-27|FL-28,SD-38,HD-115|HD-117,no
33157,Miami-Dade,12086,miami,FL-28,0.069,FL-27|FL-28,SD-38,HD-115|HD-117,no
33158,Miami-Dade,12086,miami,FL-27,1.0,FL-27,SD-38,HD-115|HD-114,no
33160,Miami-Dade,12086,miami,FL-25,0.999,FL-24,SD-37|SD-34,HD-106|HD-107,yes
33161,Miami-Dade,12086,miami,FL-24,1.0,FL-24,SD-34,HD-108,no
33162,Miami-Dade,12086,miami,FL-24,0.615,FL-24,SD-34,HD-107,yes
33162,Miami-Dade,12086,miami,FL-25,0.385,FL-24,SD-34,HD-107,yes
33165,Miami-Dade,12086,miami,FL-27,0.737,FL-27|FL-28,SD-38|SD-36|SD-40,HD-116,no
33165,Miami-Dade,12086,miami,FL-28,0.263,FL-27|FL-28,SD-38|SD-36|SD-40,HD-116,no
33166,Miami-Dade,12086,miami,FL-26,1.0,FL-26,SD-39,HD-112|HD-111,no
33167,Miami-Dade,12086,miami,FL-24,1.0,FL-24,SD-34|SD-39,HD-109|HD-108,no
33168,Miami-Dade,12086,miami,FL-24,1.0,FL-24,SD-34,HD-108,no
33169,Miami-Dade,12086,miami,FL-24,1.0,FL-24,SD-34,HD-107|HD-104,no
